[14:11:11] [info] Nut Log: [Renderer]初始化渲染器
[14:11:11] [info] Nut Log: [Renderer]设备名称: NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2
[14:11:11] [info] Nut Log: [Renderer]渲染接口: OpenGL
[14:11:11] [info] Nut Log: [Renderer]版本: 4.6.0 NVIDIA 572.61
[14:11:11] [info] Nut Log: [Renderer]厂商: NVIDIA Corporation
[14:11:11] [info] Nut Log: [Renderer]最大采样数: 32
[14:11:11] [info] Nut Log: [Renderer]最大纹理单元: 32
[14:11:11] [info] Nut Log: [Renderer]启用OpenGL调试... 调试模式:同步
[14:11:11] [info] Nut Log: [Renderer]启用混合... 混合函数:源Alpha, 1-源Alpha
[14:11:11] [info] Nut Log: [Renderer]启用深度测试... 深度函数:小于等于
[14:11:11] [info] Nut Log: [Renderer]启用模板测试... 模板函数:总是通过, 模板操作:保持, 保持, 替换
[14:11:11] [info] Nut Log: [Renderer]启用剔除面... 剔除面:背面, 正面朝向:逆时针
[14:11:11] [info] Nut Log: [Renderer]启用多重采样... 启用无缝立方体贴图
[14:11:12] [trace] Nut Log: [Shader]加载着色器文件: "Resources/Shaders/EdgeHighlightShader.glsl"
[14:11:13] [trace] Nut Log: [Shader]Shader Name - "EdgeHighlightShader.glsl", Shader Stage - Vertex
[14:11:13] [trace] Nut Log: [Shader]Uniform Buffers: 1
[14:11:13] [trace] Nut Log: [Shader]Storage Buffers: 0
[14:11:13] [trace] Nut Log: [Shader]Sampled Images: 0
[14:11:13] [trace] Nut Log: [Shader]Plain Uniforms: 0
[14:11:13] [trace] Nut Log: [Shader]Shader Name - "EdgeHighlightShader.glsl", Shader Stage - Fragment
[14:11:13] [trace] Nut Log: [Shader]Uniform Buffers: 1
[14:11:13] [trace] Nut Log: [Shader]Storage Buffers: 0
[14:11:13] [trace] Nut Log: [Shader]Sampled Images: 0
[14:11:13] [trace] Nut Log: [Shader]Plain Uniforms: 0
[14:11:13] [info] Nut Log: [Window]光标移动到 1191, 462
[14:11:13] [info] Nut Log: [Renderer]调整视口大小: 1600, 900
[14:11:13] [info] Nut Log: [Window]光标移动到 1192, 463
[14:11:13] [info] Nut Log: [Window]光标移动到 1197, 463
[14:11:13] [info] Nut Log: [Window]光标移动到 1198, 463
[14:11:13] [info] Nut Log: [Window]光标移动到 1200, 463
[14:11:13] [info] Nut Log: [Window]光标移动到 1202, 465
[14:11:13] [info] Nut Log: [Window]光标移动到 1203, 466
[14:11:13] [info] Nut Log: [Window]光标移动到 1205, 466
[14:11:13] [info] Nut Log: [Window]光标移动到 1206, 468
[14:11:13] [info] Nut Log: [Window]光标移动到 1209, 473
[14:11:13] [info] Nut Log: [Window]光标移动到 1212, 477
[14:11:13] [info] Nut Log: [Window]光标移动到 1219, 482
[14:11:14] [info] Nut Log: [Window]光标移动到 1223, 485
[14:11:14] [info] Nut Log: [Window]光标移动到 1225, 488
[14:11:14] [info] Nut Log: [Window]光标移动到 1228, 491
[14:11:14] [info] Nut Log: [Window]光标移动到 1229, 492
[14:11:14] [info] Nut Log: [Window]光标移动到 1231, 493
[14:11:14] [info] Nut Log: [Window]光标移动到 1232, 495
[14:11:14] [info] Nut Log: [Window]光标移动到 1235, 497
[14:11:14] [info] Nut Log: [Window]光标移动到 1236, 498
